"","symbol","concept","contexts","types","label"
33,"cave","placeOfWorshipOfMithras","mithraic","Simulation","place of worship of Mithras"
34,"cave","primitivePartOfTheSelf","generalOrUnknown","Simulation","primitive part of the self"
35,"carnival","invocationOfPrimordialChaos","generalOrUnknown","Simulation","invocation of primordial chaos"
36,"cauldron","dagda","celtic","AttributeSimulation","Dagda"
37,"cauldron","fertility","generalOrUnknown","Simulation","fertility"
38,"cauldron","inexhaustibleSustenance","celtic","Simulation","inexhaustible sustenance"
39,"cauldron","inspiration","generalOrUnknown","Simulation","inspiration"
40,"cauldron","martyrdom","generalOrUnknown","Simulation","martyrdom"
41,"cauldron","mother","generalOrUnknown","Simulation","mother"
42,"cauldron","rebirth","celtic","Simulation","rebirth"
43,"cauldron","resurrection","generalOrUnknown","Simulation","resurrection"
44,"cauldron","ssBoniface","christian","AttributeSimulation","SS Boniface"
45,"cauldron","theFemininePrinciple","generalOrUnknown","Simulation","the feminine principle"
46,"cauldron","theUnderworld","generalOrUnknown","Simulation","the underworld"
47,"cauldron","witchcraft","generalOrUnknown","Simulation","witchcraft"
48,"cauldron","womb","generalOrUnknown","Simulation","womb"
49,"cauldron","abundance","celtic @ generalOrUnknown","Simulation","abundance"
50,"aM","annunciation","christian","AssociationSimulation","Annunciation"
51,"amazement","partOfTheProcessOfSpiritualAwakening","generalOrUnknown","Simulation","part of the process of spiritual awakening"
52,"americanFlag","omegaDeltaSigma","heraldic","Simulation","Omega Delta Sigma"
53,"analogion","theWordOfGod","easternOrthodox","Simulation","the word of God"
54,"ankles","uranusPlanet","generalOrUnknown","AssociationSimulation","Uranus (planet)"
55,"appleOfDiscord","erisMythology","greek","Simulation","Eris (mythology)"
56,"aqueduct","channelOfTruthFromAHigherToALowerNature","generalOrUnknown","Simulation","channel of truth from a higher to a lower nature"
57,"aquilegiaSaximontana","colorado","generalOrUnknown","Simulation","Colorado"
58,"arasRiver","armenia","generalOrUnknown","Simulation","Armenia"
59,"aristotle","logicPersonified","generalOrUnknown","Simulation","Logic personified"
60,"armour","athena","greek","Simulation","Athena"
61,"aM","mayAlsoStandForAveMariaLatinForHailMary","christian","Simulation","may also stand for ave Maria, Latin for “hail Mary”"
62,"aM","standsForAuspiceMariaLatinForUnderTheProtectionOfMary","christian","Simulation","stands for auspice Maria, Latin for “under the protection of Mary”"
63,"aM","theVirginMary","christian","AttributeSimulation","the Virgin Mary"
64,"artist","theExternalizationOfInnerEmotionsThoughtsPurposes","generalOrUnknown","Simulation","the externalization of inner emotions, thoughts, purposes"
65,"ascending","anIncreaseInIntensity","generalOrUnknown","Simulation","an increase in intensity"
66,"ascending","aRaiseInValueOrWorth","generalOrUnknown","Simulation","a raise in value or worth"
67,"ascending","breakingThroughToABetterPlaneOfExistence","generalOrUnknown","Simulation","breaking through to a better plane of existence"
68,"ase","SanyN","yoruba","Simulation","Ọsanyìn"
69,"asianElephant","laos","generalOrUnknown","Simulation","Laos"
70,"aSword","maahes","egyptian","Simulation","Maahes"
71,"atlas","strength","greek","Simulation","strength"
72,"awl","euphemismForPenis","roman","Simulation","euphemism for penis"
73,"axe","chastisement","generalOrUnknown","Simulation","chastisement"
74,"ascending","goingFromDarknessToLightFromEarthToHeaven","generalOrUnknown","Simulation","going from darkness to light, from earth to heaven"
75,"ascending","regainingParadise","generalOrUnknown","Simulation","regaining Paradise"
76,"ascending","theHumanConditionBeingTranscendedAndAHigherSpiritualLevelBeingAttained","generalOrUnknown","Simulation","the human condition being transcended and a higher spiritual level being attained"
77,"axe","aDeity","celtic","AttributeSimulation","a deity"
78,"axe","boniface","christian","AttributeSimulation","Boniface"
79,"axe","divinities","generalOrUnknown","AttributeSimulation","divinities"
80,"axe","josephEspeciallyWhenShownWithCarpenterSTools","christian","AttributeSimulation","Joseph (especially when shown with carpenter’s tools)"
81,"axe","lumberjacks","generalOrUnknown","AttributeSimulation","lumberjacks"
82,"axe","primitiveWarfare","generalOrUnknown","Simulation","primitive warfare"
83,"axe","prolcus","christian","AttributeSimulation","Prolcus"
84,"axe","seversTheCycleOfBirthAndDeath","buddhist","Simulation","severs the cycle of birth and death"
85,"axe","teshub","sumeroSemitic","AttributeSimulation","Teshub"
86,"axe","theCriticalFaculty","generalOrUnknown","Simulation","the critical faculty"
87,"axe","theFecundityOfRain","generalOrUnknown","Simulation","the fecundity of rain"
88,"axe","thomasOfCanterbury","christian","AttributeSimulation","Thomas of Canterbury"
89,"ascending","reintegration","generalOrUnknown","Simulation","reintegration"
90,"ascending","transcendence","generalOrUnknown","Simulation","transcendence"
91,"axe","apollo","grecoRoman","AttributeSimulation","Apollo"
92,"axe","artemisDiana","grecoRoman","AttributeSimulation","Artemis/Diana"
93,"axe","athenaMinerva","grecoRoman","AttributeSimulation","Athena/Minerva"
94,"axe","authority","chinese","Simulation","authority"
95,"axe","buddhism","buddhist","EmblematicSimulation","Buddhism"
96,"axe","carpenters","generalOrUnknown","AttributeSimulation","carpenters"
97,"axe","chief","celtic","AttributeSimulation","chief"
98,"axe","destruction","christian","Simulation","destruction"
99,"axe","esus","gallic","AttributeSimulation","Esus"
100,"axe","execution","generalOrUnknown","Simulation","execution"
101,"axe","fertility","generalOrUnknown","Simulation","fertility"
102,"axe","help","generalOrUnknown","Simulation","help"
103,"axe","intercidona","grecoRoman","Simulation","Intercidona"
104,"axe","johnTheBaptist","christian","AttributeSimulation","John the Baptist"
105,"axe","judgment","chinese","Simulation","judgment"
106,"axe","justice","chinese","Simulation","justice"
107,"axe","lightning","generalOrUnknown","Simulation","lightning"
108,"axe","martyrdom","christian","Simulation","martyrdom"
109,"axe","militaryService","heraldic","Simulation","military service"
110,"axe","parashurama","hindu","AttributeSimulation","Parashurama"
111,"axe","perun","slavic","Simulation","Perun"
112,"axe","punishment","chinese","Simulation","punishment"
113,"axe","ramman","sumeroSemitic","AttributeSimulation","Ramman"
114,"axe","sacrifice","generalOrUnknown","Simulation","sacrifice"
115,"axe","skyGods","generalOrUnknown","AttributeSimulation","sky gods"
116,"axe","sovereignty","sumeroSemitic","Simulation","sovereignty"
117,"axe","ssMatthew","christian","AttributeSimulation","SS Matthew"
118,"axe","support","generalOrUnknown","Simulation","support"
119,"axe","tammuz","sumeroSemitic","AttributeSimulation","Tammuz"
120,"axe","thePowerOfLight","generalOrUnknown","Simulation","the power of light"
121,"axe","theSolar","egyptian","Simulation","the solar"
122,"axe","theSun","generalOrUnknown","Simulation","the sun"
123,"axe","thunder","generalOrUnknown","Simulation","thunder"
124,"aABird","Oro","tahitian","ManifestationSimulation","‘Oro"
125,"acerRubrum","rhodeIsland","generalOrUnknown","Simulation","Rhode Island"
126,"ache","mentalOrSpiritualDisorder","generalOrUnknown","Simulation","mental or spiritual disorder"
127,"aCrown","adelanteFraternity","heraldic","Simulation","Adelante Fraternity"
128,"agathaOfSicily","malta","generalOrUnknown","Simulation","Malta"
129,"aKnife","maahes","egyptian","Simulation","Maahes"
130,"aladdin","selfRealizationThroughAJourney","generalOrUnknown","Simulation","self-realization through a journey"
131,"alcestis","sacrifice","greek","Simulation","sacrifice"
132,"coatOfArmsOfSuriname","suriname","generalOrUnknown","Simulation","Suriname"
133,"coal","utah","generalOrUnknown","Simulation","Utah"
134,"cloak","mentalCoveringOftenRevealingTheWearerSPrinciplesOfActionOpinionsPrejudicesAssociationsMentalState","generalOrUnknown","Simulation","mental covering, often revealing the wearer’s principles of action, opinions, prejudices, associations, mental state"
135,"cloak","stAngelaMerici","christian","AttributeSimulation","St. Angela Merici"
136,"cloak","theOuterBoundsOfTheWearerSPersonality","generalOrUnknown","Simulation","the outer bounds of the wearer’s personality"
137,"cloak","villainy","generalOrUnknown","Simulation","villainy"
138,"cloak","concealment","generalOrUnknown","Simulation","concealment"
139,"cloak","dignity","generalOrUnknown","Simulation","dignity"
140,"cloak","disguise","generalOrUnknown","Simulation","disguise"
141,"cloak","dissimulation","generalOrUnknown","Simulation","dissimulation"
142,"cloak","eos","greek","Simulation","Eos"
143,"cloak","infamy","generalOrUnknown","Simulation","infamy"
144,"cloak","invisibility","generalOrUnknown","Simulation","invisibility"
145,"cloak","mystery","generalOrUnknown","Simulation","mystery"
146,"cloak","obscurity","generalOrUnknown","Simulation","obscurity"
147,"cloak","protection","generalOrUnknown","Simulation","protection"
148,"cloak","righteousness","generalOrUnknown","Simulation","righteousness"
149,"cloak","royalty","celtic","AttributeSimulation","royalty"
150,"cloak","shelter","generalOrUnknown","Simulation","shelter"
151,"cloak","sleep","generalOrUnknown","Simulation","sleep"
152,"cloak","withdrawal","generalOrUnknown","Simulation","withdrawal"
153,"columns","alphaEpsilonPhi","heraldic","Simulation","Alpha Epsilon Phi"
154,"commonPheasant","southDakota","generalOrUnknown","Simulation","South Dakota"
155,"Crescent","tripleGoddessNeopaganism","neopagan","Simulation","Triple Goddess (Neopaganism)"
156,"ghost","aRepressedFeatureOfTheEgoReturningToTheConscious","generalOrUnknown","Simulation","a repressed feature of the ego returning to the conscious"
157,"ghost","disembodiedSpirit","generalOrUnknown","Simulation","disembodied spirit"
158,"ghost","generallyConsideredUnhealthyToMeetOne","generalOrUnknown","Simulation","generally considered unhealthy to meet one"
159,"ghost","messengerFromTheSpiritWorld","generalOrUnknown","Simulation","messenger from the spirit world"
160,"donkey","priapus","greek","Simulation","Priapus"
161,"donkey","silenus","greek","Simulation","Silenus"
162,"donkey","theDemocraticParty","generalOrUnknown","Simulation","the Democratic party"
163,"thief","aForceOfChaos","generalOrUnknown","Simulation","a force of chaos"
164,"stag","theSoulThirstingForGod","jewish","Simulation","the soul thirsting for God"
165,"stag","theTherapeutic","celtic","Simulation","the therapeutic"
166,"tengu","eclipses","chinese @ japanese","AssociationSimulation","eclipses"
167,"tengu","meteors","chinese @ japanese","Simulation","meteors"
168,"thief","personificationOfNaturalCalamitiesFloodFrostDrought","generalOrUnknown","Simulation","personification of natural calamities (flood, frost, drought)"
169,"thief","theLesserNatureWhichRobsTheSelfOfPrimordialWealth","generalOrUnknown","Simulation","the lesser nature which robs the self of primordial wealth"
170,"thief","theVillainousAspectOfOneSSelf","generalOrUnknown","Simulation","the villainous aspect of one’s self"
171,"thief","theVillainousPartOfTheSelf","generalOrUnknown","Simulation","the villainous part of the self"
172,"stag","agility","generalOrUnknown","Simulation","agility"
173,"stag","conductorOfSoulsOfTheDead","celtic","Simulation","conductor of souls of the dead"
174,"stag","guardianOfTheNorth","siouan","Simulation","guardian of the North"
175,"stag","ida","christian","AttributeSimulation","Ida"
176,"stag","julianTheHospitator","christian","AttributeSimulation","Julian the Hospitator"
177,"stag","lyricPoetry","grecoRoman","Simulation","lyric poetry"
178,"stag","peacefulUnlessProvoked","heraldic","Simulation","peaceful unless provoked"
179,"stag","theChristian","christian","Simulation","the Christian"
180,"stag","thePersonificationsOfHearing","generalOrUnknown","AttributeSimulation","the personifications of Hearing"
181,"stupa","theDoctrine","buddhist","Simulation","the Doctrine"
182,"stag","hunters","celtic","AttributeSimulation","hunters"
183,"stag","jerome","christian","AttributeSimulation","Jerome"
184,"stupa","nirvana","buddhist","Simulation","nirvana"
185,"stag","adonis","grecoRoman","AttributeSimulation","Adonis"
186,"stag","artemisDiana","grecoRoman","AttributeSimulation","Artemis/Diana"
187,"stag","beauty","generalOrUnknown","Simulation","beauty"
188,"stag","cernunnos","gallic","AttributeSimulation","Cernunnos"
189,"stag","chastity","generalOrUnknown","Simulation","chastity"
190,"stag","christ","christian","Simulation","Christ"
191,"stag","devotion","generalOrUnknown","Simulation","devotion"
192,"stag","erato","grecoRoman","AttributeSimulation","Erato"
193,"stag","fertility","celtic @ generalOrUnknown","Simulation","fertility"
194,"stag","fortitude","heraldic","Simulation","fortitude"
195,"stag","fukurokuju","japanese","AttributeSimulation","Fukurokuju"
196,"stag","grace","generalOrUnknown","Simulation","grace"
197,"stag","growth","generalOrUnknown","Simulation","growth"
198,"stag","happiness","chinese","Simulation","happiness"
199,"stag","hearing","generalOrUnknown","Simulation","hearing"
200,"stag","immortality","generalOrUnknown","Simulation","immortality"
201,"stag","jurojin","japanese","AttributeSimulation","Jurojin"
202,"stag","kindness","heraldic","Simulation","kindness"
203,"stag","longevity","celtic @ chinese @ generalOrUnknown @ japanese","Simulation","longevity"
204,"stag","mercurius","alchemic","Simulation","Mercurius"
205,"stag","mildness","generalOrUnknown @ heraldic","Simulation","mildness"
206,"stag","music","grecoRoman","Simulation","music"
207,"stag","piety","christian @ generalOrUnknown","Simulation","piety"
208,"stag","plenty","celtic","Simulation","plenty"
209,"stag","prudence","generalOrUnknown","AttributeSimulation @ Simulation","prudence"
210,"stag","regeneration","generalOrUnknown","Simulation","regeneration"
211,"stag","rejuvenation","generalOrUnknown","Simulation","rejuvenation"
212,"stag","solitude","christian","Simulation","solitude"
213,"stag","swiftness","generalOrUnknown","Simulation","swiftness"
214,"stag","theArchangelAsariel","generalOrUnknown","AssociationSimulation","the archangel Asariel"
215,"stag","theSolar","celtic","Simulation","the solar"
216,"stag","theWordOfGod","christian","Simulation","the word of God"
217,"stag","timidity","generalOrUnknown","Simulation","timidity"
218,"stag","treeOfLife","generalOrUnknown @ northAmericanIndian","Simulation","Tree of Life"
219,"stag","virility","celtic","Simulation","virility"
220,"stupa","enlightenment","buddhist","Simulation","enlightenment"
221,"stupa","theCosmos","buddhist","Simulation","the cosmos"
222,"bottlenoseDolphin","mississippi","generalOrUnknown","Simulation","Mississippi"
223,"bowAndArrow","cupid","roman","Simulation","cupid"
224,"brandenburgGate","germany","generalOrUnknown","Simulation","Germany"
225,"brazilianNationalAnthem","brazil","generalOrUnknown","Simulation","Brazil"
226,"britannia","theUnitedKingdom","generalOrUnknown","Simulation","the United Kingdom"
227,"brooklynBridge","newYorkCity","generalOrUnknown","Simulation","New York City"
228,"bucentaur","thePowersOfInstinctAndProcreation","italian","Simulation","the powers of instinct and procreation"
229,"bucephalus","theDeathlessDevotionOfAServantToASingleMaster","macedonian","Simulation","the deathless devotion of a servant to a single master"
230,"cabinet","heart","generalOrUnknown","Simulation","heart"
231,"cable","strength","generalOrUnknown","Simulation","strength"
232,"box","containerOfTraditionTheDivine","generalOrUnknown","Simulation","container of tradition, the divine"
233,"box","secretKeeper","generalOrUnknown","Simulation","secret keeper"
234,"box","containment","generalOrUnknown","Simulation","containment"
235,"box","theFemininePrinciple","generalOrUnknown","Simulation","the feminine principle"
236,"box","theMaternalBody","generalOrUnknown","Simulation","the maternal body"
237,"box","theUnconscious","generalOrUnknown","Simulation","the unconscious"
238,"box","treasure","generalOrUnknown","Simulation","treasure"
239,"ghost","oneSTrueNatureOrInnerSelf","generalOrUnknown","Simulation","one’s true nature or inner self"
240,"ghost","psychicDissociation","generalOrUnknown","Simulation","psychic dissociation"
241,"ghost","unresolvedPastIssues","generalOrUnknown","Simulation","unresolved past issues"
242,"gourd","bulk","flowerLanguage","Simulation","bulk"
243,"gourd","extent","flowerLanguage","Simulation","extent"
244,"gourd","liTIehKuai","taoist","EmblematicSimulation","Li T’ieh-kuai"
245,"gourd","necromancy","chinese","Simulation","necromancy"
246,"gourd","theCosmosInMiniature","chinese","Simulation","the cosmos in miniature"
247,"gourd","theCreativePowerOfNature","chinese @ generalOrUnknown","Simulation","the creative power of nature"
248,"gourd","theOriginalUnityOfThePrimordialParents","chinese","Simulation","the original unity of the primordial parents"
249,"hair","magicalPower","generalOrUnknown","Simulation","magical power"
250,"hair","stateOfMind","generalOrUnknown","RelatednessSimulation","state of mind"
251,"infant","newEra","generalOrUnknown","Simulation","new era"
252,"ghost","lackOfSubstance","generalOrUnknown","Simulation","lack of substance"
253,"gourd","theFemaleBreast","amerindian","Simulation","the female breast"
254,"gourd","theResurrectionOfChrist","christian","Simulation","the Resurrection of Christ"
255,"hair","theExternalSoul","generalOrUnknown","Simulation","the external soul"
256,"hair","thoughts","generalOrUnknown","RelatednessSimulation","thoughts"
257,"infant","newBeginning","generalOrUnknown","Simulation","new beginning"
258,"gourd","adaptability","christian","Simulation","adaptability"
259,"gourd","blessing","generalOrUnknown","Simulation","blessing"
260,"gourd","buddhism","buddhist","EmblematicSimulation","Buddhism"
261,"gourd","christ","christian","AttributeSimulation","Christ"
262,"gourd","cosmicEgg","bambaran","Simulation","Cosmic Egg"
263,"gourd","death","generalOrUnknown","Simulation","death"
264,"gourd","fertility","generalOrUnknown","Simulation","fertility"
265,"gourd","immortality","taoist","Simulation","immortality"
266,"gourd","jonah","jewish","AttributeSimulation","Jonah"
267,"gourd","longevity","chinese","Simulation","longevity"
268,"gourd","mystery","chinese","Simulation","mystery"
269,"gourd","nourishment","amerindian","Simulation","nourishment"
270,"gourd","pilgrimage","christian","Simulation","pilgrimage"
271,"gourd","plenty","generalOrUnknown","Simulation","plenty"
272,"gourd","pride","christian","Simulation","pride"
273,"gourd","resurrection","generalOrUnknown","Simulation","resurrection"
274,"gourd","stJamesTheGreat","christian","AttributeSimulation","St. James the Great"
275,"hair","creativity","generalOrUnknown","RelatednessSimulation","creativity"
276,"hair","energy","generalOrUnknown","Simulation","energy"
277,"hair","fertility","generalOrUnknown","RelatednessSimulation","fertility"
278,"hair","fire","generalOrUnknown","RelatednessSimulation","fire"
279,"hair","godSProvidence","generalOrUnknown","Simulation","God’s providence"
280,"hair","ideas","generalOrUnknown","RelatednessSimulation","ideas"
281,"hair","intellect","generalOrUnknown","RelatednessSimulation","intellect"
282,"hair","lifeForce","generalOrUnknown","Simulation","life force"
283,"hair","love","generalOrUnknown","RelatednessSimulation","love"
284,"hair","rain","generalOrUnknown","RelatednessSimulation","rain"
285,"hair","sunRays","generalOrUnknown","RelatednessSimulation","sun rays"
286,"hair","vitality","jewish","Simulation","vitality"
287,"infant","faith","generalOrUnknown","Simulation","faith"
288,"infant","helplessness","generalOrUnknown","Simulation","helplessness"
289,"infant","hope","generalOrUnknown","Simulation","hope"
290,"infant","innocence","generalOrUnknown","Simulation","innocence"
291,"infant","theNewYear","generalOrUnknown","Simulation","the new year"
292,"tengu","catastrophe","chinese @ japanese","Simulation","catastrophe"
293,"tengu","destruction","chinese @ japanese","Simulation","destruction"
294,"tengu","hypocrisy","chinese @ japanese","Simulation","hypocrisy"
295,"tengu","mischief","chinese @ japanese","Simulation","mischief"
296,"tengu","war","chinese @ japanese","Simulation","war"
297,"thief","death","generalOrUnknown","Simulation","death"
298,"thief","time","generalOrUnknown","Simulation","time"
299,"stag","gentleness","japanese","Simulation","gentleness"
300,"banjo","aFavoriteInstrumentOfTheDevil","folkloric","Simulation","a favorite instrument of the devil"
301,"batik","indonesia","generalOrUnknown","Simulation","Indonesia"
302,"beautifulWoman","yerTanr","turkic","Simulation","Yer Tanrı"
303,"bend","knightlyService","heraldic","Simulation","knightly service"
304,"benjamin","theYoungestSonInAFamily","jewish","Simulation","the youngest son in a family"
305,"bharatMata","india","generalOrUnknown","Simulation","India"
306,"axe","tlaloc","mexicanIndian","AttributeSimulation","Tlaloc"
307,"axe","war","generalOrUnknown","Simulation","war"
308,"axe","warrior","celtic","AttributeSimulation","warrior"
309,"axe","zeusJupiter","grecoRoman","AttributeSimulation","Zeus/Jupiter"
310,"shell","aGoodLifeInTheNextWorld","chinese","Simulation","a good life in the next world"
311,"shell","alludesToThePresenceOfWater","generalOrUnknown","Simulation","alludes to the presence of water"
312,"shell","anySuccessfulDistantJourney","heraldic","Simulation","any successful distant journey"
313,"stag","cocidus","celtic","AttributeSimulation","Cocidus"
314,"scar","inabilityToReleasePastIdeasOrEmotions","generalOrUnknown","Simulation","inability to release past ideas or emotions"
315,"scar","remnantOfMutilationUsuallyWithASinisterConnotation","generalOrUnknown","Simulation","remnant of mutilation, usually with a sinister connotation"
316,"shell","augustineOfHippo","christian","AttributeSimulation","Augustine of Hippo"
317,"shell","jamesTheGreat","christian","AttributeSimulation","James the Great"
318,"shell","pilgrimageEspeciallyToSantiagoInSpain","heraldic","Simulation","pilgrimage, especially to Santiago in Spain"
319,"shell","pilgrimsParticularlyToSantiago","christian","AttributeSimulation","pilgrims (particularly to Santiago)"
320,"shell","seaVoyagers","grecoRoman","EmblematicSimulation","sea voyagers"
321,"shell","ssRoch","christian","AttributeSimulation","SS Roch"
322,"shell","thePersonificationsOfFolly","generalOrUnknown","AttributeSimulation","the personifications of Folly"
323,"shell","victoriousNavalCommander","heraldic","Simulation","victorious naval commander"
324,"shore","theDividingLineBetweenDifferentWorldsSuchAsLifeDeathBodySpiritConsciousUnconscious","generalOrUnknown","Simulation","the dividing line between different worlds, such as life/death, body/spirit, conscious/unconscious"
325,"stag","aMessengerOfTheGods","generalOrUnknown","Simulation","a messenger of the gods"
326,"stag","bringerOfDrought","chinese","Simulation","bringer of drought"
327,"stag","continualCreationAndRebirth","generalOrUnknown","Simulation","continual creation and rebirth"
328,"stag","eustachius","christian","AttributeSimulation","Eustachius"
329,"stag","felix","christian","AttributeSimulation","Felix"
330,"stag","harbingerOfDisastrousFire","cambodian","Simulation","harbinger of disastrous fire"
331,"stag","heavenAndToLight","generalOrUnknown","RelatednessSimulation","heaven and to light"
332,"stag","heraldOfDawnGuideToTheLightOfTheSun","pawnee","Simulation","herald of dawn, guide to the light of the sun"
333,"stag","loverOfFaithAndTrust","heraldic","Simulation","lover of faith and trust"
334,"stag","loverOfJusticeAndHarmony","heraldic","Simulation","lover of justice and harmony"
335,"stag","ossian","celtic","AttributeSimulation","Ossian"
336,"stag","pecuniaryGain","chinese","Simulation","pecuniary gain"
337,"stag","politicalProvidence","heraldic","Simulation","political providence"
338,"stag","possessorOfHuntingRights","heraldic","Simulation","possessor of hunting rights"
339,"stag","purityOfLife","christian","Simulation","purity of life"
340,"stag","religiousAspiration","generalOrUnknown","Simulation","religious aspiration"
341,"stag","sexualArdor","generalOrUnknown","Simulation","sexual ardor"
342,"stag","skillInMusic","heraldic","Simulation","skill in music"
343,"stag","slayerOfSerpents","jewish","Simulation","slayer of serpents"
344,"stag","ssAidan","christian","AttributeSimulation","SS Aidan"
345,"stag","steedOfProtectiveMaleDeities","hittite","Simulation","steed of protective male deities"
346,"stag","susannahAndTheElders","jewish","AssociationSimulation","Susannah and the elders"
347,"stag","theCycleOfGrowthAndRebirth","generalOrUnknown","Simulation","the cycle of growth and rebirth"
348,"stag","theLifeOfSolitudeAndOfPurity","generalOrUnknown","Simulation","the life of solitude and of purity"
349,"shell","sexualPassion","grecoRoman","Simulation","sexual passion"
350,"shell","theFemininePrincipleOfContainment","generalOrUnknown","Simulation","the feminine principle of containment"
351,"spine","seatOfLife","ainu","Simulation","seat of life"
352,"rooster","theCrucifixion","christian","AttributeSimulation","the Crucifixion"
353,"rooster","theDawn","generalOrUnknown","Simulation","the dawn"
354,"rooster","theMasculinePrinciple","generalOrUnknown","Simulation","the masculine principle"
355,"rooster","thePersonificationsOfLust","generalOrUnknown","AttributeSimulation","the personifications of Lust"
356,"rooster","theSun","generalOrUnknown @ pueblo","AssociationSimulation @ Simulation","the sun"
357,"rooster","uncertainty","malian","AssociationSimulation","uncertainty"
358,"rooster","valor","chinese","Simulation","valor"
359,"rooster","vigilance","christian @ egyptian @ generalOrUnknown @ grecoRoman @ masonic","Simulation","vigilance"
360,"shell","aphroditeVenus","grecoRoman","AttributeSimulation","Aphrodite/Venus"
361,"shell","baptism","christian","RelatednessSimulation","baptism"
362,"shell","boreas","grecoRoman","AttributeSimulation","Boreas"
363,"shell","fertility","generalOrUnknown","Simulation","fertility"
364,"shell","funerals","christian @ grecoRoman","AssociationSimulation @ RelatednessSimulation","funerals"
365,"shell","life","generalOrUnknown","Simulation","life"
366,"shell","love","generalOrUnknown","Simulation","love"
367,"shell","lucky","chinese","Simulation","lucky"
368,"shell","marriage","generalOrUnknown","Simulation","marriage"
369,"shell","michael","christian","AttributeSimulation","Michael"
370,"shell","regeneration","generalOrUnknown","Simulation","regeneration"
371,"shell","resurrection","christian @ grecoRoman","RelatednessSimulation @ Simulation","resurrection"
372,"shell","theFeminine","chinese","Simulation","the feminine"
373,"shell","theMoon","generalOrUnknown","RelatednessSimulation","the moon"
374,"shell","theNorthWind","generalOrUnknown","AttributeSimulation","the North wind"
375,"shell","theVirginMary","christian","RelatednessSimulation","the Virgin Mary"
376,"shell","virginBirth","generalOrUnknown","RelatednessSimulation","virgin birth"
377,"shell","vulva","generalOrUnknown","Simulation","vulva"
378,"shell","water","generalOrUnknown","RelatednessSimulation","water"
379,"shell","woman","generalOrUnknown","RelatednessSimulation","woman"
380,"shell","yin","chinese","Simulation","yin"
381,"shore","safety","generalOrUnknown","Simulation","safety"
382,"spine","aspiration","generalOrUnknown","Simulation","aspiration"
383,"spine","courage","generalOrUnknown","Simulation","courage"
384,"spine","firmness","generalOrUnknown","Simulation","firmness"
385,"spine","force","generalOrUnknown","Simulation","force"
386,"spine","life","generalOrUnknown","Simulation","life"
387,"cereal","ceresMythology","roman","Simulation","Ceres (mythology)"
388,"chalk","anApprentice","generalOrUnknown","AttributeSimulation","an apprentice"
389,"charterOak","connecticut","generalOrUnknown","Simulation","Connecticut"
390,"chineseDragon","china","generalOrUnknown","Simulation","China"
